id;foto;nombre;descripcion;precio;restaurante_id;SQL
11;default_menu.png;Lettuce - Green Leaf;quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident;18.4;235;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (11, 'default_menu.png', 'Lettuce - Green Leaf', 'quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident', 18.4, 235);"
12;default_menu.png;Dome Lid Clear P92008h;consectetur adipiscing elit;26.08;31;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (12, 'default_menu.png', 'Dome Lid Clear P92008h', 'consectetur adipiscing elit', 26.08, 31);"
13;default_menu.png;Tuna - Bluefin;consectetur adipiscing elit;77.96;871;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (13, 'default_menu.png', 'Tuna - Bluefin', 'consectetur adipiscing elit', 77.96, 871);"
14;default_menu.png;Table Cloth 62x120 Colour;sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam;23.05;177;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (14, 'default_menu.png', 'Table Cloth 62x120 Colour', 'sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam', 23.05, 177);"
15;default_menu.png;Pepper - Red Thai;Lorem ipsum dolor sit amet;22.03;645;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (15, 'default_menu.png', 'Pepper - Red Thai', 'Lorem ipsum dolor sit amet', 22.03, 645);"
16;default_menu.png;Nut - Walnut, Pieces;Lorem ipsum dolor sit amet;29.67;597;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (16, 'default_menu.png', 'Nut - Walnut, Pieces', 'Lorem ipsum dolor sit amet', 29.67, 597);"
17;default_menu.png;Cabbage Roll;sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam;54.47;861;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (17, 'default_menu.png', 'Cabbage Roll', 'sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam', 54.47, 861);"
18;default_menu.png;Gelatine Leaves - Envelopes;Lorem ipsum dolor sit amet;50.01;289;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (18, 'default_menu.png', 'Gelatine Leaves - Envelopes', 'Lorem ipsum dolor sit amet', 50.01, 289);"
19;default_menu.png;Nori Sea Weed - Gold Label;Lorem ipsum dolor sit amet;10.46;541;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (19, 'default_menu.png', 'Nori Sea Weed - Gold Label', 'Lorem ipsum dolor sit amet', 10.46, 541);"
20;default_menu.png;Stock - Beef, White;quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident;9.11;258;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (20, 'default_menu.png', 'Stock - Beef, White', 'quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident', 9.11, 258);"
21;default_menu.png;Lobster - Tail, 3 - 4 Oz;sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam;8.42;648;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (21, 'default_menu.png', 'Lobster - Tail, 3 - 4 Oz', 'sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam', 8.42, 648);"
22;default_menu.png;Hummus - Spread;Lorem ipsum dolor sit amet;53.73;634;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (22, 'default_menu.png', 'Hummus - Spread', 'Lorem ipsum dolor sit amet', 53.73, 634);"
23;default_menu.png;Juice - Pineapple, 341 Ml;consectetur adipiscing elit;8.79;772;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (23, 'default_menu.png', 'Juice - Pineapple, 341 Ml', 'consectetur adipiscing elit', 8.79, 772);"
24;default_menu.png;Bread - White, Unsliced;sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam;40.37;716;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (24, 'default_menu.png', 'Bread - White, Unsliced', 'sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam', 40.37, 716);"
25;default_menu.png;Coffee Cup 12oz 5342cd;consectetur adipiscing elit;16.89;236;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (25, 'default_menu.png', 'Coffee Cup 12oz 5342cd', 'consectetur adipiscing elit', 16.89, 236);"
26;default_menu.png;Muffin Hinge Container 6;Lorem ipsum dolor sit amet;74.03;139;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (26, 'default_menu.png', 'Muffin Hinge Container 6', 'Lorem ipsum dolor sit amet', 74.03, 139);"
27;default_menu.png;Wine - Baron De Rothschild;sunt in culpa qui officia deserunt mollit anim id est laborum.;74.71;888;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (27, 'default_menu.png', 'Wine - Baron De Rothschild', 'sunt in culpa qui officia deserunt mollit anim id est laborum.', 74.71, 888);"
28;default_menu.png;Appetizer - Escargot Puff;sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam;32.28;965;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (28, 'default_menu.png', 'Appetizer - Escargot Puff', 'sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam', 32.28, 965);"
29;default_menu.png;Pie Filling - Cherry;sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam;24.25;964;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (29, 'default_menu.png', 'Pie Filling - Cherry', 'sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam', 24.25, 964);"
30;default_menu.png;Energy Drink - Redbull 355ml;sunt in culpa qui officia deserunt mollit anim id est laborum.;75.27;661;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (30, 'default_menu.png', 'Energy Drink - Redbull 355ml', 'sunt in culpa qui officia deserunt mollit anim id est laborum.', 75.27, 661);"
31;default_menu.png;Soup - Campbells, Minestrone;sunt in culpa qui officia deserunt mollit anim id est laborum.;88.42;11;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (31, 'default_menu.png', 'Soup - Campbells, Minestrone', 'sunt in culpa qui officia deserunt mollit anim id est laborum.', 88.42, 11);"
32;default_menu.png;Beans - Green;consectetur adipiscing elit;3.35;814;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (32, 'default_menu.png', 'Beans - Green', 'consectetur adipiscing elit', 3.35, 814);"
33;default_menu.png;Duck - Breast;consectetur adipiscing elit;70.96;387;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (33, 'default_menu.png', 'Duck - Breast', 'consectetur adipiscing elit', 70.96, 387);"
34;default_menu.png;Lamb - Loin Chops;quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident;88.79;886;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (34, 'default_menu.png', 'Lamb - Loin Chops', 'quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident', 88.79, 886);"
35;default_menu.png;Mangostein;quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident;27.16;365;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (35, 'default_menu.png', 'Mangostein', 'quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident', 27.16, 365);"
36;default_menu.png;Coffee - Egg Nog Capuccino;sunt in culpa qui officia deserunt mollit anim id est laborum.;42.63;74;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (36, 'default_menu.png', 'Coffee - Egg Nog Capuccino', 'sunt in culpa qui officia deserunt mollit anim id est laborum.', 42.63, 74);"
37;default_menu.png;Scallops - U - 10;Lorem ipsum dolor sit amet;27.41;951;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (37, 'default_menu.png', 'Scallops - U - 10', 'Lorem ipsum dolor sit amet', 27.41, 951);"
38;default_menu.png;Wine - Magnotta - Bel Paese White;Lorem ipsum dolor sit amet;46.48;935;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (38, 'default_menu.png', 'Wine - Magnotta - Bel Paese White', 'Lorem ipsum dolor sit amet', 46.48, 935);"
39;default_menu.png;Veal - Insides, Grains;quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident;24.66;798;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (39, 'default_menu.png', 'Veal - Insides, Grains', 'quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident', 24.66, 798);"
40;default_menu.png;Mousse - Banana Chocolate;Lorem ipsum dolor sit amet;64.67;444;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (40, 'default_menu.png', 'Mousse - Banana Chocolate', 'Lorem ipsum dolor sit amet', 64.67, 444);"
41;default_menu.png;Rum - Spiced, Captain Morgan;quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident;33.15;165;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (41, 'default_menu.png', 'Rum - Spiced, Captain Morgan', 'quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident', 33.15, 165);"
42;default_menu.png;Tuna - Bluefin;consectetur adipiscing elit;73.22;781;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (42, 'default_menu.png', 'Tuna - Bluefin', 'consectetur adipiscing elit', 73.22, 781);"
43;default_menu.png;Versatainer Nc - 8288;quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident;11.23;246;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (43, 'default_menu.png', 'Versatainer Nc - 8288', 'quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident', 11.23, 246);"
44;default_menu.png;Soap - Hand Soap;sunt in culpa qui officia deserunt mollit anim id est laborum.;3.75;487;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (44, 'default_menu.png', 'Soap - Hand Soap', 'sunt in culpa qui officia deserunt mollit anim id est laborum.', 3.75, 487);"
45;default_menu.png;Garam Marsala;Lorem ipsum dolor sit amet;75.14;345;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (45, 'default_menu.png', 'Garam Marsala', 'Lorem ipsum dolor sit amet', 75.14, 345);"
46;default_menu.png;Cherries - Frozen;quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident;54.06;1000;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (46, 'default_menu.png', 'Cherries - Frozen', 'quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident', 54.06, 1000);"
47;default_menu.png;Bread - Granary Small Pull;Lorem ipsum dolor sit amet;68.29;633;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (47, 'default_menu.png', 'Bread - Granary Small Pull', 'Lorem ipsum dolor sit amet', 68.29, 633);"
48;default_menu.png;Plasticknivesblack;Lorem ipsum dolor sit amet;60.62;137;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (48, 'default_menu.png', 'Plasticknivesblack', 'Lorem ipsum dolor sit amet', 60.62, 137);"
49;default_menu.png;Cookie Dough - Double;sunt in culpa qui officia deserunt mollit anim id est laborum.;25.33;471;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (49, 'default_menu.png', 'Cookie Dough - Double', 'sunt in culpa qui officia deserunt mollit anim id est laborum.', 25.33, 471);"
50;default_menu.png;Wine - Magnotta - Cab Franc;quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident;90.27;706;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (50, 'default_menu.png', 'Wine - Magnotta - Cab Franc', 'quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident', 90.27, 706);"
51;default_menu.png;Cheese - Parmesan Grated;sunt in culpa qui officia deserunt mollit anim id est laborum.;26.26;432;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (51, 'default_menu.png', 'Cheese - Parmesan Grated', 'sunt in culpa qui officia deserunt mollit anim id est laborum.', 26.26, 432);"
52;default_menu.png;Langers - Ruby Red Grapfruit;quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident;15.9;419;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (52, 'default_menu.png', 'Langers - Ruby Red Grapfruit', 'quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident', 15.9, 419);"
53;default_menu.png;Kiwi Gold Zespri;Lorem ipsum dolor sit amet;73.45;634;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (53, 'default_menu.png', 'Kiwi Gold Zespri', 'Lorem ipsum dolor sit amet', 73.45, 634);"
54;default_menu.png;Tomatoes - Roma;quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident;7.93;658;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (54, 'default_menu.png', 'Tomatoes - Roma', 'quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident', 7.93, 658);"
55;default_menu.png;Energy Drink Red Bull;sunt in culpa qui officia deserunt mollit anim id est laborum.;20.13;54;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (55, 'default_menu.png', 'Energy Drink Red Bull', 'sunt in culpa qui officia deserunt mollit anim id est laborum.', 20.13, 54);"
56;default_menu.png;Scampi Tail;sunt in culpa qui officia deserunt mollit anim id est laborum.;33.56;125;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (56, 'default_menu.png', 'Scampi Tail', 'sunt in culpa qui officia deserunt mollit anim id est laborum.', 33.56, 125);"
57;default_menu.png;Salmon - Atlantic, Fresh, Whole;consectetur adipiscing elit;5.9;321;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (57, 'default_menu.png', 'Salmon - Atlantic, Fresh, Whole', 'consectetur adipiscing elit', 5.9, 321);"
58;default_menu.png;Muffin Orange Individual;consectetur adipiscing elit;56.7;653;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (58, 'default_menu.png', 'Muffin Orange Individual', 'consectetur adipiscing elit', 56.7, 653);"
59;default_menu.png;Icecream Bar - Del Monte;sunt in culpa qui officia deserunt mollit anim id est laborum.;94.04;363;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (59, 'default_menu.png', 'Icecream Bar - Del Monte', 'sunt in culpa qui officia deserunt mollit anim id est laborum.', 94.04, 363);"
60;default_menu.png;Flavouring - Orange;quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident;31.25;199;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (60, 'default_menu.png', 'Flavouring - Orange', 'quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident', 31.25, 199);"
61;default_menu.png;Soup Campbells Beef With Veg;consectetur adipiscing elit;94.89;656;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (61, 'default_menu.png', 'Soup Campbells Beef With Veg', 'consectetur adipiscing elit', 94.89, 656);"
62;default_menu.png;Dates;sunt in culpa qui officia deserunt mollit anim id est laborum.;58.62;10;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (62, 'default_menu.png', 'Dates', 'sunt in culpa qui officia deserunt mollit anim id est laborum.', 58.62, 10);"
63;default_menu.png;Chicken - White Meat, No Tender;quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident;64.64;644;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (63, 'default_menu.png', 'Chicken - White Meat, No Tender', 'quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident', 64.64, 644);"
64;default_menu.png;Coffee Cup 8oz 5338cd;sunt in culpa qui officia deserunt mollit anim id est laborum.;56.56;949;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (64, 'default_menu.png', 'Coffee Cup 8oz 5338cd', 'sunt in culpa qui officia deserunt mollit anim id est laborum.', 56.56, 949);"
65;default_menu.png;Lamb - Ground;sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam;24.95;86;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (65, 'default_menu.png', 'Lamb - Ground', 'sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam', 24.95, 86);"
66;default_menu.png;Rum - White, Gg White;quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident;29.16;970;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (66, 'default_menu.png', 'Rum - White, Gg White', 'quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident', 29.16, 970);"
67;default_menu.png;Shrimp - 16/20, Peeled Deviened;quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident;57.28;56;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (67, 'default_menu.png', 'Shrimp - 16/20, Peeled Deviened', 'quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident', 57.28, 56);"
68;default_menu.png;Sping Loaded Cup Dispenser;Lorem ipsum dolor sit amet;9.92;910;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (68, 'default_menu.png', 'Sping Loaded Cup Dispenser', 'Lorem ipsum dolor sit amet', 9.92, 910);"
69;default_menu.png;Beer - Mcauslan Apricot;sunt in culpa qui officia deserunt mollit anim id est laborum.;81.49;766;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (69, 'default_menu.png', 'Beer - Mcauslan Apricot', 'sunt in culpa qui officia deserunt mollit anim id est laborum.', 81.49, 766);"
70;default_menu.png;Flour - Strong;Lorem ipsum dolor sit amet;95.16;124;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (70, 'default_menu.png', 'Flour - Strong', 'Lorem ipsum dolor sit amet', 95.16, 124);"
71;default_menu.png;Pizza Pizza Dough;Lorem ipsum dolor sit amet;31.04;381;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (71, 'default_menu.png', 'Pizza Pizza Dough', 'Lorem ipsum dolor sit amet', 31.04, 381);"
72;default_menu.png;Onions - Dried, Chopped;sunt in culpa qui officia deserunt mollit anim id est laborum.;95.04;978;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (72, 'default_menu.png', 'Onions - Dried, Chopped', 'sunt in culpa qui officia deserunt mollit anim id est laborum.', 95.04, 978);"
