id;cantidad;precio;menu_id;pedido_id;SQL
31;19;975.95;99;527;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (31, 19, 975.95, 99, 527);"
32;38;142.07;23;976;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (32, 38, 142.07, 23, 976);"
33;100;709.8;42;446;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (33, 100, 709.8, 42, 446);"
34;14;391.74;58;872;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (34, 14, 391.74, 58, 872);"
35;57;666.41;73;514;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (35, 57, 666.41, 73, 514);"
36;13;809.03;17;176;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (36, 13, 809.03, 17, 176);"
37;65;993.39;29;720;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (37, 65, 993.39, 29, 720);"
38;77;619.27;45;269;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (38, 77, 619.27, 45, 269);"
39;42;675.11;5;882;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (39, 42, 675.11, 5, 882);"
40;100;37.19;68;721;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (40, 100, 37.19, 68, 721);"
41;97;656.65;49;523;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (41, 97, 656.65, 49, 523);"
42;43;513;32;650;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (42, 43, 513, 32, 650);"
43;88;694.29;98;299;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (43, 88, 694.29, 98, 299);"
44;10;219.38;79;760;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (44, 10, 219.38, 79, 760);"
45;70;100.77;36;198;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (45, 70, 100.77, 36, 198);"
46;81;463.6;99;160;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (46, 81, 463.6, 99, 160);"
47;42;630.39;56;725;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (47, 42, 630.39, 56, 725);"
48;86;698.16;4;677;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (48, 86, 698.16, 4, 677);"
49;47;64.12;15;516;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (49, 47, 64.12, 15, 516);"
50;13;887.56;40;685;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (50, 13, 887.56, 40, 685);"
51;75;213.13;45;446;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (51, 75, 213.13, 45, 446);"
52;78;528.41;12;597;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (52, 78, 528.41, 12, 597);"
53;32;952.1;27;553;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (53, 32, 952.1, 27, 553);"
54;72;996.55;19;174;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (54, 72, 996.55, 19, 174);"
55;97;887.82;3;521;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (55, 97, 887.82, 3, 521);"
56;47;596.45;94;400;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (56, 47, 596.45, 94, 400);"
57;9;174.32;63;844;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (57, 9, 174.32, 63, 844);"
58;5;19.69;51;469;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (58, 5, 19.69, 51, 469);"
59;66;757.73;37;940;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (59, 66, 757.73, 37, 940);"
60;40;383.02;97;768;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (60, 40, 383.02, 97, 768);"
61;81;512.84;24;89;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (61, 81, 512.84, 24, 89);"
62;31;62.64;17;781;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (62, 31, 62.64, 17, 781);"
63;71;489.08;16;622;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (63, 71, 489.08, 16, 622);"
64;46;6.99;81;230;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (64, 46, 6.99, 81, 230);"
65;78;112.61;16;226;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (65, 78, 112.61, 16, 226);"
66;78;420.37;22;45;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (66, 78, 420.37, 22, 45);"
67;6;906.63;60;647;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (67, 6, 906.63, 60, 647);"
68;34;495.81;60;998;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (68, 34, 495.81, 60, 998);"
69;61;264.68;32;120;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (69, 61, 264.68, 32, 120);"
70;39;237.68;40;3;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (70, 39, 237.68, 40, 3);"
71;13;677.19;94;933;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (71, 13, 677.19, 94, 933);"
72;31;76.51;31;491;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (72, 31, 76.51, 31, 491);"
73;93;698.46;93;462;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (73, 93, 698.46, 93, 462);"
74;52;973.8;68;402;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (74, 52, 973.8, 68, 402);"
75;90;395.66;2;726;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (75, 90, 395.66, 2, 726);"
76;10;509.07;97;691;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (76, 10, 509.07, 97, 691);"
77;34;299.8;13;825;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (77, 34, 299.8, 13, 825);"
78;42;602.8;32;279;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (78, 42, 602.8, 32, 279);"
79;81;266.98;82;261;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (79, 81, 266.98, 82, 261);"
80;37;378.58;49;69;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (80, 37, 378.58, 49, 69);"
81;41;725.86;66;235;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (81, 41, 725.86, 66, 235);"
82;68;276.34;83;507;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (82, 68, 276.34, 83, 507);"
83;30;541.35;2;106;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (83, 30, 541.35, 2, 106);"
84;82;595.04;45;996;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (84, 82, 595.04, 45, 996);"
85;25;716.44;64;470;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (85, 25, 716.44, 64, 470);"
86;81;281.39;5;116;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (86, 81, 281.39, 5, 116);"
87;49;21.94;2;160;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (87, 49, 21.94, 2, 160);"
88;24;263.99;72;437;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (88, 24, 263.99, 72, 437);"
89;68;694.6;80;133;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (89, 68, 694.6, 80, 133);"
90;18;496.15;6;792;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (90, 18, 496.15, 6, 792);"
91;42;126.64;18;607;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (91, 42, 126.64, 18, 607);"
92;68;35.32;47;318;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (92, 68, 35.32, 47, 318);"
93;86;781.48;23;306;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (93, 86, 781.48, 23, 306);"
94;8;83.37;22;536;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (94, 8, 83.37, 22, 536);"
95;62;762.2;19;179;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (95, 62, 762.2, 19, 179);"
96;54;920.36;30;9;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (96, 54, 920.36, 30, 9);"
97;10;9.85;45;835;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (97, 10, 9.85, 45, 835);"
98;16;790.75;26;124;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (98, 16, 790.75, 26, 124);"
99;40;658.92;38;342;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (99, 40, 658.92, 38, 342);"
100;27;292.29;61;848;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (100, 27, 292.29, 61, 848);"
101;72;386.78;13;383;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (101, 72, 386.78, 13, 383);"
102;37;280.32;20;423;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (102, 37, 280.32, 20, 423);"
103;79;686.14;51;436;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (103, 79, 686.14, 51, 436);"
104;60;844.04;42;104;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (104, 60, 844.04, 42, 104);"
105;23;377.08;62;254;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (105, 23, 377.08, 62, 254);"
106;98;341.01;57;858;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (106, 98, 341.01, 57, 858);"
107;24;376.63;1;56;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (107, 24, 376.63, 1, 56);"
108;5;601.12;28;952;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (108, 5, 601.12, 28, 952);"
109;78;186.57;84;937;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (109, 78, 186.57, 84, 937);"
110;67;824.64;82;534;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (110, 67, 824.64, 82, 534);"
111;36;439.63;31;80;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (111, 36, 439.63, 31, 80);"
112;36;608.21;57;959;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (112, 36, 608.21, 57, 959);"
113;82;139.65;27;91;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (113, 82, 139.65, 27, 91);"
114;66;645.4;28;520;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (114, 66, 645.4, 28, 520);"
115;6;646.77;76;859;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (115, 6, 646.77, 76, 859);"
116;73;78.53;35;492;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (116, 73, 78.53, 35, 492);"
117;83;800.96;73;224;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (117, 83, 800.96, 73, 224);"
118;22;418.63;65;373;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (118, 22, 418.63, 65, 373);"
119;94;683.13;10;668;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (119, 94, 683.13, 10, 668);"
120;50;969.36;20;944;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (120, 50, 969.36, 20, 944);"
121;31;14.25;12;470;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (121, 31, 14.25, 12, 470);"
122;96;64.4;10;149;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (122, 96, 64.4, 10, 149);"
123;39;659.91;35;823;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (123, 39, 659.91, 35, 823);"
124;89;562.99;16;255;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (124, 89, 562.99, 16, 255);"
125;33;757.34;63;615;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (125, 33, 757.34, 63, 615);"
126;21;999.32;86;137;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (126, 21, 999.32, 86, 137);"
127;9;4.73;68;405;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (127, 9, 4.73, 68, 405);"
128;79;692.77;80;259;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (128, 79, 692.77, 80, 259);"
129;80;464.82;38;437;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (129, 80, 464.82, 38, 437);"
130;87;469.23;51;954;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (130, 87, 469.23, 51, 954);"
131;88;833.74;50;76;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (131, 88, 833.74, 50, 76);"
132;19;93.53;45;650;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (132, 19, 93.53, 45, 650);"
133;89;167.18;85;272;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (133, 89, 167.18, 85, 272);"
134;44;113.66;58;338;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (134, 44, 113.66, 58, 338);"
135;32;315.46;88;46;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (135, 32, 315.46, 88, 46);"
136;72;624.28;74;143;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (136, 72, 624.28, 74, 143);"
137;68;798.05;72;395;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (137, 68, 798.05, 72, 395);"
138;8;510.7;8;94;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (138, 8, 510.7, 8, 94);"
139;67;166.87;23;900;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (139, 67, 166.87, 23, 900);"
140;52;502.73;58;744;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (140, 52, 502.73, 58, 744);"
141;18;631.94;92;980;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (141, 18, 631.94, 92, 980);"
142;45;456.55;57;445;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (142, 45, 456.55, 57, 445);"
143;66;147.65;66;570;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (143, 66, 147.65, 66, 570);"
144;20;818.72;28;508;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (144, 20, 818.72, 28, 508);"
145;30;314.7;35;873;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (145, 30, 314.7, 35, 873);"
146;53;626.6;49;453;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (146, 53, 626.6, 49, 453);"
147;5;166.05;53;689;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (147, 5, 166.05, 53, 689);"
148;89;913.69;80;381;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (148, 89, 913.69, 80, 381);"
149;68;681.28;31;10;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (149, 68, 681.28, 31, 10);"
150;47;327.37;38;103;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (150, 47, 327.37, 38, 103);"
151;63;43.95;31;992;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (151, 63, 43.95, 31, 992);"
152;8;218.31;70;131;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (152, 8, 218.31, 70, 131);"
153;81;359.27;73;437;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (153, 81, 359.27, 73, 437);"
154;68;344.59;68;329;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (154, 68, 344.59, 68, 329);"
155;4;14.93;97;644;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (155, 4, 14.93, 97, 644);"
156;93;763.67;14;74;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (156, 93, 763.67, 14, 74);"
157;85;340.28;50;190;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (157, 85, 340.28, 50, 190);"
158;71;469.96;50;390;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (158, 71, 469.96, 50, 390);"
159;9;692.25;96;706;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (159, 9, 692.25, 96, 706);"
160;28;70.53;72;942;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (160, 28, 70.53, 72, 942);"
161;1;53.86;69;831;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (161, 1, 53.86, 69, 831);"
162;8;49.9;10;550;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (162, 8, 49.9, 10, 550);"
163;90;621.2;90;873;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (163, 90, 621.2, 90, 873);"
164;47;678.72;45;991;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (164, 47, 678.72, 45, 991);"
165;50;743.45;18;250;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (165, 50, 743.45, 18, 250);"
166;58;285.56;51;43;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (166, 58, 285.56, 51, 43);"
167;43;800.17;73;753;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (167, 43, 800.17, 73, 753);"
168;68;719.52;75;724;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (168, 68, 719.52, 75, 724);"
169;90;34.82;2;801;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (169, 90, 34.82, 2, 801);"
170;82;91.93;33;525;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (170, 82, 91.93, 33, 525);"
171;33;649.75;88;987;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (171, 33, 649.75, 88, 987);"
172;52;324.54;84;147;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (172, 52, 324.54, 84, 147);"
173;16;537.34;47;407;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (173, 16, 537.34, 47, 407);"
174;76;551.14;34;293;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (174, 76, 551.14, 34, 293);"
175;32;860.83;52;793;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (175, 32, 860.83, 52, 793);"
176;79;192.23;33;51;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (176, 79, 192.23, 33, 51);"
177;36;264.38;5;646;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (177, 36, 264.38, 5, 646);"
178;33;685.94;3;827;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (178, 33, 685.94, 3, 827);"
179;58;825.69;25;656;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (179, 58, 825.69, 25, 656);"
180;9;258.82;5;510;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (180, 9, 258.82, 5, 510);"
181;71;852.78;93;727;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (181, 71, 852.78, 93, 727);"
182;24;902.64;99;376;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (182, 24, 902.64, 99, 376);"
183;68;476.47;20;734;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (183, 68, 476.47, 20, 734);"
184;46;699.18;93;425;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (184, 46, 699.18, 93, 425);"
185;19;153.88;56;538;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (185, 19, 153.88, 56, 538);"
186;7;648.92;71;985;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (186, 7, 648.92, 71, 985);"
187;26;259.4;34;420;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (187, 26, 259.4, 34, 420);"
188;91;276.59;98;522;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (188, 91, 276.59, 98, 522);"
189;47;971.24;59;110;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (189, 47, 971.24, 59, 110);"
190;41;376.45;78;609;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (190, 41, 376.45, 78, 609);"
191;12;898.37;39;70;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (191, 12, 898.37, 39, 70);"
